stratum,reason,plot_id,species
Shrubs,missing_plot_id,NA,NA
Shrubs,missing_plot_id,NA,Daphne bhoula
Shrubs,missing_plot_id,NA,Boehmeria macrophylla
Shrubs,missing_plot_id,NA,Bridelia micrantha
Shrubs,missing_plot_id,NA,Taberemonta divaricata
Shrubs,missing_plot_id,NA,Piper pedicilatum
Shrubs,missing_plot_id,NA,Calamus flagellum
Shrubs,missing_plot_id,NA,Psychotria nervosa
Shrubs,missing_plot_id,NA,Clerodendrum colebrookianum
Shrubs,missing_species,18,NA
Shrubs,missing_species,196,NA
Herbs,missing_plot_id,NA,Melinis minutiflora
Herbs,missing_plot_id,NA,Melinis minutiflora
Regen,missing_plot_id,NA,Castanopsis indica
Regen,missing_plot_id,NA,Litsea monopetala
Regen,missing_plot_id,NA,Castanopsis indica
