plot_id,regen_richness,regen_total_cover,regen_mean_cover,n_records
1,1,50,50,1
10,1,7,7,1
100,1,40,40,1
101,1,40,40,1
102,1,30,30,1
103,1,30,30,1
104,4,122,30.5,4
106,1,0,0,1
107,2,60,30,2
108,1,90,90,1
109,6,16,2.6666666666666665,6
11,1,7,7,1
110,6,17,2.8333333333333335,6
111,2,5,2.5,2
112,4,9,2.25,4
113,4,9,2.25,4
114,3,6,2,3
115,4,9,2.25,4
116,4,9,2.25,4
117,2,4,2,2
118,7,28,4,7
119,2,4,2,2
12,1,3,3,1
120,4,29,7.25,4
121,3,8,2.6666666666666665,3
122,2,4,2,2
123,1,2,2,1
124,1,2,2,1
125,1,2,2,1
126,4,8,2,4
127,3,35,11.666666666666666,3
128,5,42,8.4,5
129,2,25,12.5,2
13,1,3,3,1
130,2,10,5,2
132,2,25,12.5,2
133,4,15,3.75,4
134,2,7,3.5,2
135,1,2,2,1
136,3,12,4,3
137,1,2,2,1
138,1,2,2,1
139,1,2,2,1
14,2,3,1.5,2
140,2,4,2,2
141,4,14,3.5,4
142,1,2,2,1
143,5,10,2,5
144,3,6,2,3
145,1,0,0,1
146,1,1,1,1
147,1,1,1,1
148,1,1,1,1
149,2,2,1,2
15,2,32,16,2
150,1,1,1,1
151,1,25,25,1
152,1,25,25,1
153,2,10,5,2
154,2,9,4.5,2
155,3,60,20,3
156,5,14.5,2.9,5
157,1,5,5,1
158,4,8,2,4
159,1,4,4,1
16,1,7,7,1
160,3,23,7.666666666666667,3
161,2,4,2,2
162,3,27,9,3
163,3,74,24.666666666666668,3
164,1,1,1,1
165,3,25,8.333333333333334,3
166,4,101,25.25,4
167,1,5,5,1
168,1,3,3,1
169,1,3,3,1
17,2,7,3.5,2
170,3,41,13.666666666666666,3
171,2,43,21.5,2
172,1,3,3,1
173,2,9,4.5,2
174,3,27,9,3
175,4,47,11.75,4
176,2,4,2,2
177,3,27,9,3
178,3,77,25.666666666666668,3
179,4,55,13.75,4
18,2,21,10.5,2
180,3,14,4.666666666666667,3
181,4,10,2.5,4
182,2,5,2.5,2
183,2,3,1.5,2
184,3,10,3.3333333333333335,3
185,1,10,10,1
186,1,5,5,1
187,1,5,5,1
188,3,14,4.666666666666667,3
189,2,6,3,2
190,2,6,3,2
191,4,41,10.25,4
192,3,26,8.666666666666666,3
193,2,60,30,2
194,1,20,20,1
195,3,40,13.333333333333334,3
196,1,20,20,1
197,4,51,12.75,4
199,1,30,30,1
2,1,2,2,1
200,1,1,1,1
201,1,6,6,1
202,2,60,30,2
203,1,10,10,1
204,1,10,10,1
206,1,10,10,1
207,3,3,1,3
208,2,7,3.5,2
209,3,24,8,3
210,2,20,10,2
211,3,6,2,3
212,5,15,3,5
213,1,10,10,1
214,2,6,3,2
215,3,46,15.333333333333334,3
216,1,20,20,1
217,1,20,20,1
218,2,7,3.5,2
219,1,30,30,1
22,1,26,26,1
220,3,36,12,3
23,1,60,60,1
25,1,30,30,1
26,1,15,15,1
27,1,20,20,1
28,1,7,7,1
29,1,7,7,1
3,1,2,2,1
30,2,37,18.5,2
31,1,30,30,1
32,2,22,11,2
33,2,3,1.5,2
34,1,56,56,1
35,2,4,2,2
36,1,15,15,1
37,1,20,20,1
38,1,1,1,1
39,1,1,1,1
4,1,2,2,1
40,2,18,9,2
41,1,70,70,1
42,2,37,18.5,2
43,2,45,22.5,2
44,1,30,30,1
45,1,30,30,1
46,1,20,20,1
47,2,60,30,2
48,5,9,1.8,5
49,1,10,10,1
5,2,74,37,2
50,2,16,8,2
51,1,15,15,1
52,1,15,15,1
53,1,8,8,1
54,3,31,10.333333333333334,3
55,1,12,12,1
56,1,25,25,1
57,1,2,2,1
58,1,20,20,1
59,1,24,24,1
6,2,60,30,2
60,1,20,20,1
61,1,70,70,1
62,1,20,20,1
63,1,20,20,1
64,1,25,25,1
65,1,25,25,1
66,1,30,30,1
67,2,62,31,2
68,2,70,35,2
69,2,100,50,2
7,1,40,40,1
70,1,20,20,1
71,2,13,6.5,2
72,1,30,30,1
73,1,15,15,1
74,1,5,5,1
75,2,13,6.5,2
76,1,10,10,1
77,2,26,13,2
78,1,40,40,1
79,1,1,1,1
8,2,60,30,2
80,2,10,5,2
82,3,9,3,3
83,3,7,2.3333333333333335,3
84,4,125,31.25,4
85,1,35,35,1
86,3,9,3,3
87,2,70,35,2
88,1,45,45,1
89,3,12,4,3
9,1,20,20,1
90,2,48,24,2
91,5,14,2.8,5
92,7,27,3.857142857142857,7
93,2,15,7.5,2
94,2,30,15,2
95,3,9,3,3
96,2,12,6,2
97,1,5,5,1
98,1,40,40,1
99,1,40,40,1
