variable,NMDS1,NMDS2,r2,p_value,significant,stratum
elevation,0.06189849045333392,-0.16344575051572258,0.0305459364820493,0.039,TRUE,herbs.csv
latitude,0.00972515900310463,-0.06490767616661648,0.00430758514298602,0.659,FALSE,herbs.csv
longitude,0.02920547848219151,-0.16840444206426472,0.02921301608035004,0.06,FALSE,herbs.csv
slope,-0.01004689481292422,0.06091158615087722,0.0038111614227977,0.675,FALSE,herbs.csv
temperature,-0.06462211492086403,0.16762694121280788,0.03227480915720751,0.036,TRUE,herbs.csv
precipitation,-0.00458612979183023,0.04631643262650305,0.0021662445177129,0.825,FALSE,herbs.csv
eto,-0.0755802844768588,0.1832935495089558,0.03930890469319492,0.018,TRUE,herbs.csv
water_balance,-0.00317184814085683,0.01910792726313591,3.7517350492194954e-4,0.957,FALSE,herbs.csv
aspect,0.02684787628300487,0.03994222560924869,0.00231618984752765,0.81,FALSE,herbs.csv
elevation,-0.1350116478400938,-0.08358381675170219,0.02521439947527964,0.072,FALSE,regen.csv
latitude,-0.11655046316318252,-0.0496970362870598,0.0160538058792697,0.192,FALSE,regen.csv
longitude,0.02146891083749186,-0.00989157539447736,5.587573963328057e-4,0.946,FALSE,regen.csv
slope,0.02256878655216583,-0.00385852423003064,5.242383356709549e-4,0.955,FALSE,regen.csv
temperature,0.13410032130344093,0.08451737012181004,0.02512608202599312,0.072,FALSE,regen.csv
precipitation,0.09437461936777376,0.05336924491045451,0.01175484508312425,0.29,FALSE,regen.csv
eto,0.127003245778274,0.0871079817973705,0.0237176249310277,0.086,FALSE,regen.csv
water_balance,0.06291739874817945,0.03886886848728034,0.0054693880027189,0.552,FALSE,regen.csv
aspect,-0.022353893742017,0.08525817924515798,0.00776865369362887,0.46,FALSE,regen.csv
elevation,-8.782189002040161e-4,-0.35519650271011505,0.12616532680593345,0.001,TRUE,shrubs.csv
latitude,-0.00282991124836192,-0.2564176828850924,0.06575803649383345,0.002,TRUE,shrubs.csv
longitude,0.00142387817216783,0.0727790745482298,0.00529882112114596,0.632,FALSE,shrubs.csv
slope,-0.00476462081421422,0.17356421984207904,0.03014724002089278,0.045,TRUE,shrubs.csv
temperature,7.385023628318006e-4,0.35682233239125494,0.12732272227887512,0.001,TRUE,shrubs.csv
precipitation,0.00431005966364417,0.21507438565791104,0.04627556798043203,0.008,TRUE,shrubs.csv
eto,6.710275807230219e-5,0.3559035547828206,0.12666734480982833,0.001,TRUE,shrubs.csv
water_balance,0.00992222836924547,0.1308803153075772,0.01722810755082228,0.188,FALSE,shrubs.csv
aspect,-0.01967088669640078,0.135667721419085,0.01879267441846909,0.154,FALSE,shrubs.csv
elevation,1.0500777080042016e-5,0.08103077517612,0.00656598663590922,0.613,FALSE,trees.csv
latitude,1.632716396528705e-5,0.03405127778114538,0.001159489785105,0.958,FALSE,trees.csv
longitude,1.4727155326505669e-5,-0.05278104074945649,0.00278583847948489,0.747,FALSE,trees.csv
slope,1.5990168860539935e-5,-0.08850474939466511,0.00783309092109797,0.456,FALSE,trees.csv
temperature,-1.041470146625124e-5,-0.08329927350649804,0.00693876907517637,0.586,FALSE,trees.csv
precipitation,-3.981768550637165e-5,0.05733241526257981,0.00328700742528897,0.747,FALSE,trees.csv
eto,-9.955997195853478e-6,-0.09207454900173116,0.00847772267299407,0.487,FALSE,trees.csv
water_balance,-2.8006229389777883e-5,0.08261740505317124,0.00682563640206864,0.476,FALSE,trees.csv
aspect,5.07443244742465e-5,-0.10981539506386558,0.01205942356801934,0.298,FALSE,trees.csv
