s.Low,s.Mid,s.High,index,stat,p.value,species,stratum
1,0,0,1,0.2672612419124244,0.014,Cyathula prostrata,herbs.csv
0,1,0,2,0.2601011951391361,0.022,Elatostema sessile,herbs.csv
0,1,0,2,0.2407717061715384,0.029,Strophilanthus spp,herbs.csv
0,0,1,3,0.21160368475757949,0.03,Pouzolzia hirta,herbs.csv
0,0,1,3,0.21160368475757949,0.033,Oxalis corniculata,herbs.csv
0,1,0,2,0.2385108889095068,0.036,Cyanthillium cinereum,herbs.csv
0,0,1,3,0.20733357334819685,0.039,Rubia cordifolia,herbs.csv
1,0,0,1,0.23904572186687872,0.042,Ageratinum conizodes,herbs.csv
0,1,0,2,0.24806691574929657,0.043,Solunum khasinum,herbs.csv
0,1,0,2,0.22243750918096183,0.046,Cynoglossum furcatum,herbs.csv
0,0,1,3,0.24433888871261045,0.013,Too ciliata,regen.csv
1,0,0,1,0.28424143530087925,0.014,Cinmomum virum,regen.csv
0,0,1,3,0.2434101300373725,0.021,Alangium chinense,regen.csv
1,0,0,1,0.2392917360023981,0.025,Dillenia indica,regen.csv
0,1,0,2,0.2407717061715384,0.026,Albiza procera,regen.csv
0,1,0,2,0.27215272355462294,0.033,Aphamaxis polystacya,regen.csv
0,0,1,3,0.21160368475757949,0.038,Schefflera spp,regen.csv
1,1,0,4,0.29488391230979427,0.044,Cinmomum glanduliferum,regen.csv
0,0,1,3,0.5091211162159369,0.001,Baliospermum polyandrum,shrubs.csv
0,1,1,6,0.44721359549995793,0.001,Pseudostachyum polymorphum,shrubs.csv
0,0,1,3,0.48462971871637495,0.005,Agerati Adenophora,shrubs.csv
1,0,0,1,0.31302040002743164,0.005,Maesa indica,shrubs.csv
1,1,0,4,0.385275875185561,0.005,Psilanthus bengalensis,shrubs.csv
0,1,1,6,0.3721042037676254,0.006,Dichroa febrifuga,shrubs.csv
0,1,1,6,0.522061590979257,0.006,Maesa chisia,shrubs.csv
1,1,0,4,0.33071891388307384,0.01,Combretum alfredii,shrubs.csv
0,1,1,6,0.31622776601683794,0.021,Daphne bhoula,shrubs.csv
0,1,1,6,0.3281650616569468,0.021,Oxyspora paniculata,shrubs.csv
0,1,0,2,0.28483841923456554,0.024,Xanthozylum bungeanum,shrubs.csv
0,0,1,3,0.3158321084841332,0.026,Amblyanthopsis bhotanica,shrubs.csv
1,1,0,4,0.4305054666084629,0.026,Piper mullesua,shrubs.csv
1,0,0,1,0.2542738138578039,0.031,Elatostema lenolatum,shrubs.csv
0,0,1,3,0.307252926871377,0.046,Pseudocaryopteris panniculata,shrubs.csv
0,0,1,3,0.47781848256749654,0.001,Alnus nepalensis,trees.csv
1,1,0,4,0.5724155609940083,0.005,Schima wallichii,trees.csv
1,0,0,1,0.29301635766384415,0.008,Syzygium formosum,trees.csv
1,0,0,1,0.26352313834736496,0.012,Symplocus lucida,trees.csv
0,0,1,3,0.2849501380883701,0.017,Phoebe attenuata,trees.csv
0,1,0,2,0.27583864218368526,0.018,Duabanga grandiflora,trees.csv
1,1,0,4,0.28867513459481287,0.029,Alstonia scholaris,trees.csv
0,1,1,6,0.28867513459481287,0.03,Lithocarpus elegans,trees.csv
1,0,0,1,0.23570226039551584,0.033,Lagerstroemia hirsuta,trees.csv
1,1,0,4,0.4052129450846771,0.041,Castanopsis indica,trees.csv
